sku;name_th;name;;;description;unit_value;unit;price;;manufacturer;category;category2;category3;is_volume_buy
4001000001;น้ำดื่มตราสิงห์(500mlx12);Drining Water (Singha Brand) (500mlx12);;;;1;แพ็ค;77;;สิงห์;เครื่องดื่ม;น้ำดื่ม;;No
4001000002;น้ำดื่มตราสิงห์(750CCx12);Drining Water (Singha Brand) (500mlx12);;;;1;แพ็ค;77;;สิงห์;เครื่องดื่ม;น้ำดื่ม;;No
4001000003;โซดาสิงห์วันเวย์(325mlx24);Soda (Singha one-way) (325mlx24);;;;1;แพ็ค;180;;สิงห์;เครื่องดื่ม;โซดา;;No
4001000004;น้ำดื่มตราสิงห์(1500CCx6);Drining Water (Singha Brand) (500mlx12);;;;1;แพ็ค;80;;สิงห์;เครื่องดื่ม;น้ำดื่ม;;No
4001000005;น้ำอัดลม โค้ก ขนาด 450 มล. (450 ml*12); Coke  (450ml*12);;;;1;แพ็ค;135;;โค้ก;เครื่องดื่ม;น้ำอัดลม;;No
4001000006;น้ำอัดลม โค้ก ขนาด 1.25 ลิตร (1.25L*12);Coke (1.25Ll*12);;;;1;แพ็ค;285;;โค้ก;เครื่องดื่ม;น้ำอัดลม;;No
4001000007;น้ำอัดลม สีแดง แฟนต้า ขนาด 1.25 ลิตร (1.25L*12);Fanta (Red) (1.25L*12);;;;1;แพ็ค;280;;โค้ก;เครื่องดื่ม;น้ำอัดลม;;No
4001000008;น้ำอัดลม เป๊ปซี่ ขนาด 1.26 ลิตร (1.26L*12);Pepsi (1.26L*12);;;;1;แพ็ค;282;;เป๊ปซี่;เครื่องดื่ม;น้ำอัดลม;;No
4001000009;น้ำอัดลม เป๊ปซี่ ขนาด 1.45 ลิตร (1.45L*12);Pepsi (1.45L*12);;;;1;แพ็ค;287;;เป๊ปซี่;เครื่องดื่ม;น้ำอัดลม;;No
4001000010;น้ำอัดลม เป๊ปซี่แม็กซ์ ขนาด 1.45 ลิตร (1.45L*12);Pepsi Max (1.45L*12);;;;1;แพ็ค;287;;เป๊ปซี่;เครื่องดื่ม;น้ำอัดลม;;No
4001000011;มิรินด้าน้ำหวานกลิ่นส้ม ขนาด 1.26 ลิตร (1.26L*12);Mirinda (Orange) (1.26L*12);;;;1;แพ็ค;282;;เป๊ปซี่;เครื่องดื่ม;น้ำอัดลม;;No
4001000012;น้ำอัดลม สไปรท์ ขนาด 450 มล. (450 ml*12);Sprite (450ml*12);;;;1;แพ็ค;135;;โค้ก;เครื่องดื่ม;น้ำอัดลม;;No
4001000013;น้ำอัดลม น้ำส้ม แฟนต้า ขนาด 450 มล. (450 ml*12);Fanta (Orange) (450ml*12);;;;1;แพ็ค;135;;โค้ก;เครื่องดื่ม;น้ำอัดลม;;No
4001000014;น้ำอัดลม น้ำเขียว แฟนต้า ขนาด 450 มล. (450 ml*12);Fanta (Green) (450ml*12);;;;1;แพ็ค;135;;โค้ก;เครื่องดื่ม;น้ำอัดลม;;No
4001000015;น้ำอัดลม น้ำแดง แฟนต้า ขนาด 450 มล. (450 ml*12);Fanta (Red) (450ml*12);;;;1;แพ็ค;135;;โค้ก;เครื่องดื่ม;น้ำอัดลม;;No
4001000016;น้ำอัดลม โค้ก ขนาด 330 มล. (330 ml*24);Coke (330ml*24);;;;1;แพ็ค;225;;โค้ก;เครื่องดื่ม;น้ำอัดลม;;No
4001000017;น้ำอัดลม สไปรท์ ขนาด 330 มล. (330 ml*24);Sprite (330ml*24);;;;1;แพ็ค;0;;โค้ก;เครื่องดื่ม;น้ำอัดลม;;No
4001000018;น้ำอัดลม น้ำส้ม แฟนต้า ขนาด 330 มล. (330 ml*24);Fanta (Orange) (330ml*24);;;;1;แพ็ค;0;;โค้ก;เครื่องดื่ม;น้ำอัดลม;;No
4001000019;น้ำอัดลม น้ำเขียว แฟนต้า ขนาด 330 มล. (330 ml*24);Fanta (Green)(330ml*24);;;;1;แพ็ค;0;;โค้ก;เครื่องดื่ม;น้ำอัดลม;;No
4001000020;น้ำอัดลม น้ำแดง แฟนต้า ขนาด 330 มล. (330 ml*24);Fanta (Red) (330ml*24);;;;1;แพ็ค;0;;โค้ก;เครื่องดื่ม;น้ำอัดลม;;No
4001000021;น้ำดื่มตราสิงห์(6000CCx1);Drining Water (Singha Brand) (6000ccx1);;;;1;แพ็ค;66;;สิงห์;เครื่องดื่ม;น้ำดื่ม;;No
4001000022;โซดาสิงห์วันเวย์(325mlx6);Soda (Singha one-way) (325mlx6);;;;1;แพ็ค;50;;สิงห์;เครื่องดื่ม;โซดา;;No
4001000023;น้ำดื่มสปริงเคิล ขวด Pet 350 ซีซี (350cc*18);Drinking Water (Sprinkle Brand Pet Bottle) (350cc*18);;;;1;แพ็ค;75;;สปริงเคิล;เครื่องดื่ม;น้ำดื่ม;;No
4001000024;น้ำดื่มสปริงเคิล ขวด Pet 550 ซีซี (550cc*12);Dringking Water (Sprinkle Brand Pet Bottle) (550cc*12);;;;1;แพ็ค;70;;สปริงเคิล;เครื่องดื่ม;น้ำดื่ม;;No
4001000025;น้ำดื่มสปริงเคิล ขวด Pet 1500 ซีซี (1500cc*6);Dringking Water (Sprinkle Brand Pet Bottle) (1500cc*6);;;;1;แพ็ค;70;;สปริงเคิล;เครื่องดื่ม;น้ำดื่ม;;No
4001000026;เบียร์สิงห์ กป. 320 ซีซี (320cc'*24);Singha Beer (can) (320cc*24);;;;1;แพ็ค;795;;สิงห์;เครื่องดื่ม;แอลกอฮอลล์;;No
4001000027;เบียร์สิงห์ 620 ซีซี (620cc'*12);Singha Beer (620cc*12);;;;1;ลัง;676;;สิงห์;เครื่องดื่ม;แอลกอฮอลล์;;No
4001000028;เบียร์ยู  320 ซีซี (320cc'*12);U Beer  (320cc*12);;;;1;ลัง;728;;สิงห์;เครื่องดื่ม;แอลกอฮอลล์;;No
4001000029;เบียร์ยู 620 ซีซี (620cc'*12);UBeer (620cc*12);;;;1;ลัง;855;;สิงห์;เครื่องดื่ม;แอลกอฮอลล์;;No
4001000030;น้ำอัดลม เป๊ปซี่ ขนาด 245 มล. (245ml*24);Pepsi (245ml*24);;;;1;แพ็ค;248;;เป๊ปซี่;เครื่องดื่ม;น้ำอัดลม;;No
4001000031;มิรินด้าน้ำหวานกลิ่นส้ม ขนาด 345 มล. (345ml*12);Mirinda (Orange) (345ml*12);;;;1;แพ็ค;225;;เป๊ปซี่;เครื่องดื่ม;น้ำอัดลม;;No
4001000032;มิรินด้าน้ำหวานกลิ่นสตรอเบอร์รี่ ขนาด 345 มล. (345ml*12);Mirinda (Strawberry) (345ml*12);;;;1;แพ็ค;225;;เป๊ปซี่;เครื่องดื่ม;น้ำอัดลม;;No
4001000033;;;;;;;;;;;;;;
4001000034;;;;;;;;;;;;;;
