sku;name_th;name;;;description;unit_value;unit;price;manufacturer;category;category2;category3;is_volume_buy
5001000001;น้ำมันปาล์มขวด มรกต(1Lx12);Cooking Palm Oil (Morakot Brand 1Lx12);;;;1;ลัง;510;;มรกต;เครื่องปรุง;น้ำมัน;No
5001000002;น้ำมันปาล์ม โอลิอีน หยก (ขวด)(1Lx12);Cooking Palm Olein OIl (Yok Brand 1xL12);;;;1;ลัง;514;;หยก;เครื่องปรุง;น้ำมัน;No
5001000003;น้ำมันปาล์ม โอเลอีน หยก (ปี๊บ)(13.75Lx1);Cooking Palm Olein Oil (Yok Brand)(Bucket 13.75Lx1);;;;1;ปี๊บ;;;หยก;เครื่องปรุง;น้ำมัน;No
5001000004;น้ำมันถั่วเหลืองขวด กุ๊ก(1Lx12);Cooking Soybean Oil (Cook Brand) (1Lx12);;;;1;ลัง;556;;กุ๊ก;เครื่องปรุง;น้ำมัน;No
5001000005;ผงชูรสตราถ้วยแดง(1kgx1);Monosodium Glutamate (Ajinomoto Brand) (500gx4);;;;1;แพ็ค;94;;ถ้วยแดง;เครื่องปรุง;ผงชูรส;No
5001000006;ผงปรุงรสตรารสดีรสไก่(425gx1);Seasoning Powder (Pork Flavor) (Rod Dee Brand)(850gx1);;;;1;ถุง;59;;รสดี;เครื่องปรุง;ผงปรุงรส;No
5001000007;ผงปรุงรสตรารสดีรสหมู(425gx1);Seasoning Powder (Pork Flavor) (Rod Dee Brand)(850gx1);;;;1;ถุง;59;;รสดี;เครื่องปรุง;ผงปรุงรส;No
5001000008;ซุปหมูก้อนคนอร์ (3000gx1);Seasoning Cube (Pork Flovor) (Knor Brand) ;;;;1;แพ็ค;102;;คนอร์;เครื่องปรุง;ผงปรุงรส;No
5001000009;เกลือป่น (5Kg.*1);Salt (5Kg.*1);;;;1;ถุง;46;;ปรุงทิพย์;เครื่องปรุง;ผงปรุงรส;No
5001000010;ซอสมะเขือเทศตราโรซ่า(1000gx1);Chilli Sauce (Roza Brand) (1000x1);;;;1;แพ็ค;35;;โรซ่า;เครื่องปรุง;ซอสมะเขือเทศ;No
